gender,age,person_id,became_member_on,income,age_units10,age_units5,join_year,join_month,join_day,now,join_period,income_rank,total_buy
F,55,0610b48642,2017-07-15,112000.0,50,55,2017,7,15,2021-07-26,1472,income_1th,77.01
F,75,78afa99579,2017-05-09,100000.0,70,75,2017,5,9,2021-07-26,1539,income_2th,159.27
M,68,e2127556f4,2018-04-26,70000.0,60,65,2018,4,26,2021-07-26,1187,income_3th,57.730000000000004
M,65,389bc3fa69,2018-02-09,53000.0,60,65,2018,2,9,2021-07-26,1263,income_3th,36.43
M,58,2eeac8d8fe,2017-11-11,51000.0,50,55,2017,11,11,2021-07-26,1353,income_3th,15.62
F,61,aa4862eba7,2017-09-11,57000.0,60,60,2017,9,11,2021-07-26,1414,income_3th,85.55
M,26,e12aeaf2d4,2014-02-13,46000.0,20,25,2014,2,13,2021-07-26,2720,income_4th,56.22
F,62,31dda685af,2016-02-11,71000.0,60,60,2016,2,11,2021-07-26,1992,income_3th,160.25
M,49,62cf5e1084,2014-11-13,52000.0,40,45,2014,11,13,2021-07-26,2447,income_3th,144.11000000000004
M,57,6445de3b47,2017-12-31,42000.0,50,55,2017,12,31,2021-07-26,1303,income_4th,19.1
F,61,a448667f33,2018-05-01,40000.0,60,60,2018,5,1,2021-07-26,1182,income_4th,20.78
F,40,440cf1fd75,2016-05-04,71000.0,40,40,2016,5,4,2021-07-26,1909,income_3th,300.68
M,64,4b0da7e80e,2017-09-09,100000.0,60,60,2017,9,9,2021-07-26,1416,income_2th,211.29000000000002
F,78,c27e0d6ab7,2017-06-16,71000.0,70,75,2017,6,16,2021-07-26,1501,income_3th,155.45999999999998
M,42,f806632c01,2013-08-11,69000.0,40,40,2013,8,11,2021-07-26,2906,income_3th,91.4
F,56,d058f73bf8,2018-04-28,88000.0,50,55,2018,4,28,2021-07-26,1185,income_2th,75.62
F,33,c6c9884912,2017-09-26,52000.0,30,30,2017,9,26,2021-07-26,1399,income_3th,17.9
F,46,7429a04488,2017-09-11,59000.0,40,45,2017,9,11,2021-07-26,1414,income_3th,2.88
M,59,ebe7ef46ea,2015-01-21,41000.0,50,55,2015,1,21,2021-07-26,2378,income_4th,52.07999999999999
M,67,5917d13f6f,2014-08-23,96000.0,60,65,2014,8,23,2021-07-26,2529,income_2th,206.88
O,53,d1ede868e2,2017-09-16,52000.0,50,50,2017,9,16,2021-07-26,1409,income_3th,18.740000000000002
M,22,1e9420836d,2017-09-25,70000.0,20,20,2017,9,25,2021-07-26,1400,income_3th,106.38
F,96,868317b9be,2017-11-17,89000.0,90,95,2017,11,17,2021-07-26,1347,income_2th,81.92
M,40,f082d80f0a,2016-07-09,33000.0,40,40,2016,7,9,2021-07-26,1843,income_4th,40.94
F,69,102e945405,2016-08-14,57000.0,60,65,2016,8,14,2021-07-26,1807,income_3th,213.49
M,56,8dabe2142c,2014-05-11,68000.0,50,55,2014,5,11,2021-07-26,2633,income_3th,167.67000000000002
F,26,9f30b375d7,2017-08-12,63000.0,20,25,2017,8,12,2021-07-26,1444,income_3th,73.38
M,75,6e01418562,2015-11-12,40000.0,70,75,2015,11,12,2021-07-26,2083,income_4th,155.53
F,20,02c083884c,2016-07-11,30000.0,20,20,2016,7,11,2021-07-26,1841,income_4th,29.889999999999997
M,45,c0d210398d,2018-07-07,33000.0,40,45,2018,7,7,2021-07-26,1115,income_4th,61.25
M,61,8b70ca1f5f,2017-11-21,98000.0,60,60,2017,11,21,2021-07-26,1343,income_2th,234.42999999999995
F,69,8e7c7465e9,2013-09-18,37000.0,60,65,2013,9,18,2021-07-26,2868,income_4th,32.72
F,54,57dd18ec5d,2017-02-07,80000.0,50,50,2017,2,7,2021-07-26,1630,income_2th,249.4
M,39,be8a5d1981,2014-05-27,51000.0,30,35,2014,5,27,2021-07-26,2617,income_3th,51.91000000000001
F,41,3f89b8f80e,2015-09-21,41000.0,40,40,2015,9,21,2021-07-26,2135,income_4th,62.51
F,79,a3b9b4bf11,2015-04-15,48000.0,70,75,2015,4,15,2021-07-26,2294,income_4th,152.0
F,66,7584948ea6,2018-04-08,38000.0,60,65,2018,4,8,2021-07-26,1205,income_4th,56.08
F,56,e9844d5bea,2017-06-26,52000.0,50,55,2017,6,26,2021-07-26,1491,income_3th,87.10999999999999
F,39,f247806381,2014-07-23,56000.0,30,35,2014,7,23,2021-07-26,2560,income_3th,150.23000000000002
M,42,9fa9ae8f57,2016-01-17,96000.0,40,40,2016,1,17,2021-07-26,2017,income_2th,320.48
F,78,fe8264108d,2016-10-09,93000.0,70,75,2016,10,9,2021-07-26,1751,income_2th,225.54999999999998
M,45,186d6403f5,2017-10-06,48000.0,40,45,2017,10,6,2021-07-26,1389,income_4th,17.0
M,29,8a87fda1a6,2016-04-30,50000.0,20,25,2016,4,30,2021-07-26,1913,income_4th,38.17
M,44,b7a66e629b,2017-09-24,35000.0,40,40,2017,9,24,2021-07-26,1401,income_4th,150.23
M,63,ca82e1ebc7,2018-07-13,56000.0,60,60,2018,7,13,2021-07-26,1109,income_3th,121.61999999999999
M,36,54890f6869,2017-12-28,56000.0,30,35,2017,12,28,2021-07-26,1306,income_3th,118.85000000000001
F,76,ab66a36390,2018-03-14,47000.0,70,75,2018,3,14,2021-07-26,1230,income_4th,22.65
M,68,d3f146b615,2017-08-23,87000.0,60,65,2017,8,23,2021-07-26,1433,income_2th,177.18
M,75,a5a6ef2b78,2015-11-29,52000.0,70,75,2015,11,29,2021-07-26,2066,income_3th,135.54000000000002
M,67,2e87ba0fba,2017-02-26,76000.0,60,65,2017,2,26,2021-07-26,1611,income_2th,200.77999999999997
M,77,d8af520c4a,2016-07-30,51000.0,70,75,2016,7,30,2021-07-26,1822,income_3th,23.810000000000002
M,76,39dbcf43e2,2014-08-31,64000.0,70,75,2014,8,31,2021-07-26,2521,income_3th,110.92
M,57,b62e66ca4d,2018-02-07,98000.0,50,55,2018,2,7,2021-07-26,1265,income_2th,27.24
F,53,8c7df0c393,2016-07-06,72000.0,50,50,2016,7,6,2021-07-26,1846,income_3th,167.88
F,53,3a1242dda1,2016-12-31,117000.0,50,50,2016,12,31,2021-07-26,1668,income_1th,303.2
F,53,8045834137,2017-10-26,55000.0,50,50,2017,10,26,2021-07-26,1369,income_3th,20.179999999999996
F,61,fb98ebe9e3,2017-11-10,112000.0,60,60,2017,11,10,2021-07-26,1354,income_1th,67.25
F,67,5cd6577aca,2016-09-10,77000.0,60,65,2016,9,10,2021-07-26,1780,income_2th,155.73000000000002
F,58,99e9a19168,2018-01-25,85000.0,50,55,2018,1,25,2021-07-26,1278,income_2th,290.41999999999996
F,46,e528ceb341,2018-06-29,36000.0,40,45,2018,6,29,2021-07-26,1123,income_4th,17.13
M,30,faf74115a4,2017-12-02,41000.0,30,30,2017,12,2,2021-07-26,1332,income_4th,11.95
M,59,0b73997a26,2017-08-20,89000.0,50,55,2017,8,20,2021-07-26,1436,income_2th,45.400000000000006
M,51,f44b44b53c,2015-12-31,41000.0,50,50,2015,12,31,2021-07-26,2034,income_4th,75.96000000000001
M,27,6e04a90a0e,2018-01-10,35000.0,20,25,2018,1,10,2021-07-26,1293,income_4th,29.560000000000002
M,40,262ad0fb52,2018-02-27,53000.0,40,40,2018,2,27,2021-07-26,1245,income_3th,8.17
F,73,a2b7a0b348,2018-04-19,91000.0,70,70,2018,4,19,2021-07-26,1194,income_2th,109.16000000000001
F,74,2c5c63e512,2015-12-24,107000.0,70,70,2015,12,24,2021-07-26,2041,income_1th,298.3
M,42,9d6da0a2ac,2015-11-21,66000.0,40,40,2015,11,21,2021-07-26,2074,income_3th,136.94
M,78,571b739ada,2015-11-11,58000.0,70,75,2015,11,11,2021-07-26,2084,income_3th,126.94
F,54,816afd4505,2016-12-25,53000.0,50,50,2016,12,25,2021-07-26,1674,income_3th,57.03
F,49,68eee22871,2017-04-08,57000.0,40,45,2017,4,8,2021-07-26,1570,income_3th,184.78
M,64,cbebad9819,2017-03-05,70000.0,60,60,2017,3,5,2021-07-26,1604,income_3th,140.34
F,89,4264b1d027,2017-11-14,87000.0,80,85,2017,11,14,2021-07-26,1350,income_2th,248.62999999999997
M,73,0ba6e2ad78,2018-04-01,51000.0,70,70,2018,4,1,2021-07-26,1212,income_3th,23.43
F,50,b5abc1e85b,2017-05-06,93000.0,50,50,2017,5,6,2021-07-26,1542,income_2th,297.29
F,90,1c587de019,2015-12-10,98000.0,90,90,2015,12,10,2021-07-26,2055,income_2th,80.03
F,68,3f4e408b0b,2016-07-31,84000.0,60,65,2016,7,31,2021-07-26,1821,income_2th,34.04
M,60,13bda8fbd7,2017-02-06,64000.0,60,60,2017,2,6,2021-07-26,1631,income_3th,44.14
M,45,b19c8e7ac2,2017-08-15,54000.0,40,45,2017,8,15,2021-07-26,1441,income_3th,11.510000000000002
