gender,age,person_id,became_member_on,income,age_units10,age_units5,join_year,join_month,join_day,now,join_period
F,55,0610b48642,2017-07-15,112000.0,50,55,2017,7,15,2021-07-26,1472
F,75,78afa99579,2017-05-09,100000.0,70,75,2017,5,9,2021-07-26,1539
M,68,e2127556f4,2018-04-26,70000.0,60,65,2018,4,26,2021-07-26,1187
M,65,389bc3fa69,2018-02-09,53000.0,60,65,2018,2,9,2021-07-26,1263
M,58,2eeac8d8fe,2017-11-11,51000.0,50,55,2017,11,11,2021-07-26,1353
F,61,aa4862eba7,2017-09-11,57000.0,60,60,2017,9,11,2021-07-26,1414
M,26,e12aeaf2d4,2014-02-13,46000.0,20,25,2014,2,13,2021-07-26,2720
F,62,31dda685af,2016-02-11,71000.0,60,60,2016,2,11,2021-07-26,1992
M,49,62cf5e1084,2014-11-13,52000.0,40,45,2014,11,13,2021-07-26,2447
M,57,6445de3b47,2017-12-31,42000.0,50,55,2017,12,31,2021-07-26,1303
F,61,a448667f33,2018-05-01,40000.0,60,60,2018,5,1,2021-07-26,1182
F,40,440cf1fd75,2016-05-04,71000.0,40,40,2016,5,4,2021-07-26,1909
M,64,4b0da7e80e,2017-09-09,100000.0,60,60,2017,9,9,2021-07-26,1416
F,78,c27e0d6ab7,2017-06-16,71000.0,70,75,2017,6,16,2021-07-26,1501
M,42,f806632c01,2013-08-11,69000.0,40,40,2013,8,11,2021-07-26,2906
F,56,d058f73bf8,2018-04-28,88000.0,50,55,2018,4,28,2021-07-26,1185
F,33,c6c9884912,2017-09-26,52000.0,30,30,2017,9,26,2021-07-26,1399
F,46,7429a04488,2017-09-11,59000.0,40,45,2017,9,11,2021-07-26,1414
M,59,ebe7ef46ea,2015-01-21,41000.0,50,55,2015,1,21,2021-07-26,2378
M,67,5917d13f6f,2014-08-23,96000.0,60,65,2014,8,23,2021-07-26,2529
O,53,d1ede868e2,2017-09-16,52000.0,50,50,2017,9,16,2021-07-26,1409
M,22,1e9420836d,2017-09-25,70000.0,20,20,2017,9,25,2021-07-26,1400
F,96,868317b9be,2017-11-17,89000.0,90,95,2017,11,17,2021-07-26,1347
M,40,f082d80f0a,2016-07-09,33000.0,40,40,2016,7,9,2021-07-26,1843
F,69,102e945405,2016-08-14,57000.0,60,65,2016,8,14,2021-07-26,1807
M,56,8dabe2142c,2014-05-11,68000.0,50,55,2014,5,11,2021-07-26,2633
F,26,9f30b375d7,2017-08-12,63000.0,20,25,2017,8,12,2021-07-26,1444
M,75,6e01418562,2015-11-12,40000.0,70,75,2015,11,12,2021-07-26,2083
F,20,02c083884c,2016-07-11,30000.0,20,20,2016,7,11,2021-07-26,1841
M,45,c0d210398d,2018-07-07,33000.0,40,45,2018,7,7,2021-07-26,1115
M,61,8b70ca1f5f,2017-11-21,98000.0,60,60,2017,11,21,2021-07-26,1343
F,69,8e7c7465e9,2013-09-18,37000.0,60,65,2013,9,18,2021-07-26,2868
F,54,57dd18ec5d,2017-02-07,80000.0,50,50,2017,2,7,2021-07-26,1630
M,39,be8a5d1981,2014-05-27,51000.0,30,35,2014,5,27,2021-07-26,2617
F,41,3f89b8f80e,2015-09-21,41000.0,40,40,2015,9,21,2021-07-26,2135
F,79,a3b9b4bf11,2015-04-15,48000.0,70,75,2015,4,15,2021-07-26,2294
F,66,7584948ea6,2018-04-08,38000.0,60,65,2018,4,8,2021-07-26,1205
F,56,e9844d5bea,2017-06-26,52000.0,50,55,2017,6,26,2021-07-26,1491
F,39,f247806381,2014-07-23,56000.0,30,35,2014,7,23,2021-07-26,2560
M,42,9fa9ae8f57,2016-01-17,96000.0,40,40,2016,1,17,2021-07-26,2017
F,78,fe8264108d,2016-10-09,93000.0,70,75,2016,10,9,2021-07-26,1751
M,45,186d6403f5,2017-10-06,48000.0,40,45,2017,10,6,2021-07-26,1389
M,29,8a87fda1a6,2016-04-30,50000.0,20,25,2016,4,30,2021-07-26,1913
M,44,b7a66e629b,2017-09-24,35000.0,40,40,2017,9,24,2021-07-26,1401
M,63,ca82e1ebc7,2018-07-13,56000.0,60,60,2018,7,13,2021-07-26,1109
M,36,54890f6869,2017-12-28,56000.0,30,35,2017,12,28,2021-07-26,1306
F,76,ab66a36390,2018-03-14,47000.0,70,75,2018,3,14,2021-07-26,1230
M,68,d3f146b615,2017-08-23,87000.0,60,65,2017,8,23,2021-07-26,1433
M,75,a5a6ef2b78,2015-11-29,52000.0,70,75,2015,11,29,2021-07-26,2066
M,67,2e87ba0fba,2017-02-26,76000.0,60,65,2017,2,26,2021-07-26,1611
M,77,d8af520c4a,2016-07-30,51000.0,70,75,2016,7,30,2021-07-26,1822
M,76,39dbcf43e2,2014-08-31,64000.0,70,75,2014,8,31,2021-07-26,2521
M,57,b62e66ca4d,2018-02-07,98000.0,50,55,2018,2,7,2021-07-26,1265
F,53,8c7df0c393,2016-07-06,72000.0,50,50,2016,7,6,2021-07-26,1846
F,53,3a1242dda1,2016-12-31,117000.0,50,50,2016,12,31,2021-07-26,1668
F,53,8045834137,2017-10-26,55000.0,50,50,2017,10,26,2021-07-26,1369
